PLAYERS REQUESTS FAIRNESS FREERIDERS
0 0 0 
18 21 0.714286 
26 44 0.636364 
34 62 0.580645 
42 74 0.5 
50 82 0.47561 
58 83 0.46988 
66 88 0.443182 
74 90 0.433333 
82 97 0.402062 
90 104 0.375 
98 111 0.351351 
98 116 0.336207 
98 121 0.322314 
98 130 0.3 
98 137 0.291971 
98 141 0.283688 
98 151 0.278146 
98 154 0.272727 
98 163 0.276074 
98 164 0.27439 
98 168 0.285714 
98 168 0.285714 
98 168 0.285714 
98 169 0.284024 
98 171 0.28655 
98 173 0.294798 
98 173 0.294798 
98 173 0.294798 
98 174 0.298851 
98 174 0.298851 
98 175 0.297143 
98 175 0.297143 
98 176 0.301136 
98 176 0.301136 
98 176 0.301136 
98 176 0.301136 
98 176 0.301136 
98 176 0.301136 
98 176 0.301136 
