PLAYERS REQUESTS FAIRNESS FREERIDERS
0 0 0 88
14 17 0.882353 88
18 42 0.690476 88
22 54 0.648148 88
26 64 0.609375 88
30 74 0.594595 88
34 76 0.578947 88
38 76 0.578947 88
42 80 0.55 88
46 83 0.53012 88
50 87 0.505747 88
54 93 0.473118 88
58 96 0.458333 88
62 100 0.44 88
66 105 0.419048 88
70 107 0.411215 88
74 110 0.4 88
78 111 0.396396 88
82 112 0.392857 88
86 115 0.382609 88
90 115 0.382609 88
94 117 0.376068 88
98 121 0.363636 88
98 123 0.357724 88
98 127 0.346457 88
98 132 0.333333 88
98 133 0.330827 88
98 137 0.321168 88
98 143 0.307692 88
98 149 0.308725 88
98 149 0.308725 88
98 155 0.303226 88
98 158 0.297468 88
98 161 0.298137 88
98 162 0.302469 88
98 163 0.306748 88
98 164 0.310976 88
98 165 0.315152 88
98 166 0.319277 88
98 166 0.319277 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
98 167 0.323353 88
