NAME SCORE HISTORY FAIRNESS
playerVirtual8 3 1.99 99 1 1 0
playerVirtual50 3 1.99 59 1 1 0
playerVirtual53 3 1.99 56 1 1 0
playerVirtual57 3 1.33 52 1 1 0
playerVirtual60 3 1.33 49 1 1 0
playerVirtual61 3 1.99 48 1 1 0
playerVirtual62 3 0 47 1 1 0
playerVirtual63 3 0 46 1 1 0
playerVirtual64 3 1.33 45 1 1 0
playerVirtual65 3 1.99 44 0 1 0
playerVirtual66 3 1.99 43 0 1 0
playerVirtual67 3 1.33 42 0 1 0
playerVirtual68 3 1.99 41 0 1 0
playerVirtual69 3 0 40 0 1 0
playerVirtual70 3 1.99 39 0 1 0
playerVirtual71 3 1.99 38 0 1 0
playerVirtual72 3 1.99 37 0 1 0
playerVirtual73 3 1.99 36 0 1 0
playerVirtual74 3 1.99 35 0 1 0
playerVirtual75 3 1.99 34 0 1 0
playerVirtual76 3 1.99 33 0 1 0
playerVirtual77 3 1.99 32 0 1 0
playerVirtual78 3 0 31 0 1 0
playerVirtual79 3 0 30 0 1 0
playerVirtual80 3 0 29 0 1 0
playerVirtual81 3 0 28 0 1 0
playerVirtual82 3 0 27 0 1 0
playerVirtual83 3 0 26 0 1 0
playerVirtual84 3 0 25 0 1 0
playerVirtual85 3 0 24 0 1 0
playerVirtual86 3 0 23 0 1 0
playerVirtual87 3 0 22 0 1 0
playerVirtual88 3 0 21 0 1 0
playerVirtual89 3 0 20 0 1 0
playerVirtual90 3 0 19 0 1 0
playerVirtual91 3 0 18 0 1 0
playerVirtual92 3 0 17 0 1 0
playerVirtual93 3 0 16 0 1 0
playerVirtual94 3 0 15 0 1 0
playerVirtual95 3 0 14 0 1 0
playerVirtual96 3 0 13 0 1 0
playerVirtual97 3 0 12 0 1 0
playerVirtual98 3 0 11 0 1 0
playerVirtual99 3 0 10 0 1 0
