NAME HISTORY FAIRNESS MAX_INSTANCE FREERIDERS
 0
playerVirtual3 1 1 99 10
playerVirtual3 2 1 99 10
playerVirtual3 3 1 99 10
playerVirtual3 4 0.75 99 10
playerVirtual3 5 0.75 99 10
playerVirtual3 6 0.75 99 10
playerVirtual3 7 0.8 99 10
playerVirtual3 8 0.8 99 10
playerVirtual3 8 0.8 99 10
playerVirtual3 9 0.833333 99 10
playerVirtual3 10 0.833333 99 10
playerVirtual3 11 0.833333 99 10
playerVirtual3 12 0.833333 99 10
playerVirtual3 13 0.833333 99 10
playerVirtual3 14 0.857143 99 10
playerVirtual3 15 0.857143 99 10
playerVirtual3 16 0.857143 99 10
playerVirtual3 17 0.857143 99 10
playerVirtual3 18 0.857143 99 10
playerVirtual3 19 0.857143 99 10
playerVirtual3 20 0.875 99 10
playerVirtual3 21 0.875 99 10
playerVirtual3 22 0.875 99 10
playerVirtual3 23 0.875 99 10
playerVirtual3 24 0.875 99 10
playerVirtual3 25 0.875 99 10
playerVirtual3 26 0.888889 99 10
playerVirtual3 27 0.888889 99 10
playerVirtual3 28 0.888889 99 10
playerVirtual3 29 0.888889 99 10
